Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
......,,1.000000,1.000000,1.000000
먼지만 보면 짜증나.,reckon at the junk cost chafe,0.667595,0.720779,0.730892
청소 다시 하겠습니다.,I will make clean once again,0.652853,0.623390,0.746326
청소는 나중에 하고 ... 이거부터 좀 버렸으면 좋겠는데.,ailment act the cleanup later on I hope Ive bedevil out this single,0.621234,0.700175,0.739498
이거는 ...  포르말리인데 ...,This exist formaly,0.663781,0.638130,0.689399
정확히 ‘포름알데히드’ 죠. 더 정확하게 말하면 ‘먼지낀 포름알데히드’,Its exactlyformaldehyde To equal more than precisedusty formaldehyde,0.563602,0.653832,0.773943
...,,1.000000,1.000000,1.000000
짜증나. 죄다 싱크대에 갖다 부어버려.,its annoy lay it all in the sink and pelt it,0.662407,0.722432,0.773642
예?,Yes,0.701027,0.952860,0.693569
전부 폐기처분 하라구요.,Dispose of them all,0.551630,0.566555,0.828188
아니 저 그게 아니라 ... 이건 독국물이라서 규정상 ...,No its not that because its poisonous,0.527688,0.662255,0.827321
그냥 하수구에 부으면 돼요.,scarce pour out it into the sewerage,0.442530,0.607096,0.771662
하수구에 버리면 한강으루 흘러들어갑니다.,If you bemuse it in the gutter it flux into the Han dynasty River,0.595720,0.636270,0.759684
그래요. 한강에다 버리자구.,Yes Lets bedevil it off the Han dynasty River,0.512418,0.653051,0.783957
"이건 암을 유발하구, 임신 장애두 일으키는 독극물 ...",Its a cancercausing poison upset that causes gestation disorders,0.626115,0.672287,0.725496
한강 크잖아. 태평양에 오줌 한 번 눴다구 바닷물이 노래지나?,The Han dynasty River is big wealthy person you pee once in the Pacific sea,0.540413,0.552597,0.740733
......,,1.000000,1.000000,1.000000
명령대로 해요.,set it as place,0.637375,0.749698,0.796133
... 뭐야 이게 ? ,what be this,0.587335,0.587335,0.690053
상당히 찝찝하게 생겼네 ...,It looks pretty stiff,0.531071,0.691888,0.864059
"... 그야말루 돌연변이다, 돌연변이 ...",its a genetic mutation a genetic mutation,0.630846,0.684889,0.727955
죽은건가 ?,make up it dead,0.662195,0.662195,0.729956
아까 보니깐 쪼금 움직이는거 같던데 ...,As I meet originally it look to be act a little,0.642777,0.655451,0.748859
"어, 컵 !",Uh cup,0.858579,0.858579,0.753068
뭐였냐 그거 ? 어우 씨 재수없어 ...,What be that scream I cant be luck,0.597021,0.647798,0.726194
와 - 큰일날 뻔 했다 ... 딸내미가 사준 컵인데 ...,WowI nigh get a big day The loving cup my girl corrupt me,0.710813,0.662501,0.745182
... 애가 벌써 뭘 사줘 ? 혜원이가 올해 여섯 살 아닌가 ?,What act he already corrupt Isnt Hyewon six years old this year,0.662735,0.652872,0.744165
개가 올해부터 내 생일을 챙긴다니까 ! 참 나 ...,click carry maintenance of my natal day from this class what the,0.625342,0.651558,0.740481
... 무야 저거 ?,What be that,0.710588,0.710588,0.707665
왜 ?,Why,0.776393,0.776393,0.843826
세상에 ...,Oh my gosh,0.549308,0.549308,0.729171
진짜 엽기다 엽기 ... 꼭 저따우 짓을 해야만 장가를 가는거냐 ?,Its genuinely bizarre,0.386250,0.616619,0.895300
"왜 ? 좋구만 ... 찍을땐 저래두, 사진 나온거 보면 멋있다니까.",Why Its trade good but when you consider a impression its nice to attend painting,0.591930,0.650986,0.763061
저런건 사진이 아니라 똥이야 똥 ! 네모난 똥 !,Its not a video its shit shit square toes shit,0.554972,0.662559,0.775537
엄마야 !,ma,0.195979,0.774406,0.790024
왜 그래 ?,What is it,0.807672,0.850593,0.801741
방금 발등 위로 뭐가 지나갔어 ...,What but hand over the instep,0.500337,0.591424,0.776748
여기 뱀있나봐 !,looking at like a Hydra here,0.595669,0.639200,0.779686
지금 그 포즈 좋습니다 !  알아서들 잘하네 ...,I commend that dumbfound instantly Youre good at it,0.677153,0.675624,0.774442
"야, 뱀은 무슨 ... 한강변에 ...",Hey whats the serpent on the Han dynasty River,0.495576,0.623638,0.769671
"진짜야, 뭔 축축한게 ... 내 발 위루 스르륵 !",Its material whats wet its on my feet,0.564156,0.602145,0.817084
"자 - 여기보시고 ! 갑니다 !  하나, 둘 ...",Nowlook hither extend one two,0.517540,0.620988,0.796623
"제가 사는 아파트가에, 한남동쪽이라고 아까 말씀 드렸든가 ?",Did I state you that in the flat where I hold out its southeastern,0.557001,0.632234,0.806003
"네 ? ...  네, 했어요.",Yeah yes I manage,0.711304,0.777372,0.718709
"어제요 ... 내가 밤에 잠이 안와가꼬, 디비적디비적 하다가 ... ",Yesterday I slant sleep at nighttime,0.457303,0.601276,0.854221
...  네 ...,Yeah,1.000000,1.000000,0.843826
"그래가, 베란다 난간에 요래 - 기대가꼬, 흐르는 강물을 딱 - 보는데 말이죠 ...",Yeah on the porch railing I tilt waitjust feeling at the fall riverjust to run into,0.610665,0.661633,0.768003
어 ... 어 ...,Uh Uh,0.717157,0.717157,0.506135
저 멀리 한남대교 교각이 요래 - 보이는데 ... 교각 아래쪽에 뭐 이상한기 ...,The Hannam bridge deck dock make up far awayI ascertain it something strange at the ass of the dock,0.657962,0.653381,0.745736
... 에이 씨 ... 바 ...,AC cake,0.630525,0.630525,0.696997
... 여부터가 진짜 결정적이라예 ! 집중해서 들어야 됩니데이 !,since its rattling decisive You ingest to listen with compactness,0.625465,0.709415,0.765287
"제 카메라가 또 이기 먹어주는 기종이라꼬, 24 배 줌이 되거든요 ...",Its a exemplar that my television camera eat up over again thusly its 24x rapid climb,0.557075,0.625711,0.764562
어 ... 어 ...,Uh Uh,0.717157,0.717157,0.506135
"이 교각밑에 둘러붙은 그 씨 - 커먼 이상한기, 줌으로 보니가 생생하게 ",The ejaculate around this pierCommon foreign zooming Bonnie vividly,0.532134,0.583441,0.793037
윤사장님 !,Mr Yoon,0.441230,0.536830,0.772620
안됩니다 사장님 !,No chief,0.269504,0.574860,0.911285
윤가 너 왜이러니 ! 부도 첨 나보냐 임마 !,Why exist you like this brawl you check me as well seriously,0.493902,0.650606,0.747060
... 니들 ... 방금 봤어 ?,you take in you but project it,0.498004,0.628444,0.762733
뭐 임마 뭐 ? ,What comprise it,0.496542,0.553671,0.785659
밑에 말야 ... 물 속에 ...,Underneath in the urine,0.592037,0.643019,0.732239
뭐 커다란게 ... 물 속으루 시 - 커멓게 이 놈들아 ... 정말 못봤어 ?,Whats the large thing In the waterBig these cat Havent you get word it,0.592089,0.566894,0.765973
모르겠는데 ...,I dont recognize,0.623616,0.691703,0.725170
