Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
왜 그러냐. 눈치들이 없어.,Why is that There exist no observance,0.635409,0.677981,0.695865
대가리 다 털렸습니다. ,Ive incur it all,0.438936,0.676727,0.840018
그 젊은 놈한테? 아이 꼭 내가 나서야 되냐~ ,To that young cat brawl I actually take to extend out,0.626812,0.686279,0.754708
홀쭉이한테 연락 좀 해라. ,Please touch me,0.399352,0.726590,0.886790
에이 잠깐만 기다려봐. 칼 내려놓고. ,Wait a instant lay the tongue down,0.510139,0.645225,0.795154
뵙게 되서 영광입니다. ,It be an accolade to examine you,0.755614,0.771362,0.822751
저.. 금연인데요. ,I Its no smoking,0.566670,0.617188,0.732835
출발이나 해 임마! 콜록..  ,LET pass Colo,0.425261,0.615799,0.852295
사람들이 왜 도박을 하냐구요? 글쎄요.. 대부분 스릴 때문에 한다고 하잖아요? 따느냐 잃느냐. 근데 정말 그럴까요? 어느 날 고니가 얘기해 주더라고요. 사람들이 도박을 왜 하는지. ,Why act mass gamble good you tell most of them make up shudder correctly Follow or fall back But genuinely One day Connie distinguish me Why mass gamble,0.518453,0.593267,0.819905
첫패가 뭐예요? ,What is the first mitt,0.712349,0.712349,0.712158
1. ,1,0.000000,0.000000,0.000000
뒷패가 바로 사장님 운명이다 이 말씀이에요. 봐요. ,This is what the back shell is the honcho luck watch,0.486393,0.668736,0.792239
사꾸라. ,Sakura,0.524930,0.524930,0.776763
1+3 네끗. 사장님 운명이 네끗이구만. 그런데.. 내가 운명을 바꿉니다. ,13 clean The chief circumstances be clean By the style I exchange my portion,0.594643,0.666502,0.773970
1땡! 나는 딴 돈에 반만 가져가요. ,1 ding I entirely train half the money,0.597708,0.647812,0.764347
반요? ,Half,0.513067,0.603012,0.586786
너무 싸죠? ,Is it also cheap,0.491335,0.648805,0.779417
아닙니다. 헤헤.. ,no Hehe,0.283339,0.549541,0.868897
요쪽 모텔들이 제거고 요쪽 후진 모텔들 가진 놈이 아주 질이 안 좋은 놈이에요. 오늘 한번 부탁드립니다. 아 참.. 제가 듣기에 꾼들은 판 벌이기전에 이거  한번 해야 끗발 붙는다던데... 준비할까요? ,The ones with these motel hit and the ones with blow motels cost real poor Thank you once today Ah I learn that the actor get to make out this once before they deal it,0.468496,0.636248,0.839391
됐어요. ,Thats Okay,0.571694,0.571694,0.732481
아~ 애인이 있으신가? ,Ah set you get a devotee,0.722412,0.758023,0.728278
고니를 아냐구요? 내가 본 타짜 중에 최고예요. ,You dont acknowledge Connie Its the good Ive always consider,0.670292,0.659352,0.779324
야 김사장 왜 이렇게 늦었어? 돈 구해오느라 늦었냐? ,Hey why embody it indeed lately Are you lately to write money,0.564434,0.656568,0.767712
야 이놈아 한강물이 마르면 말랐지 내 돈이 마르냐?,Hey when the Han dynasty River constitute dry my money cost dry,0.607291,0.607291,0.759894
