Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
아야 ~ ,Ouch,0.571548,0.697850,0.619948
뭐가 웃겨 이것들아 아파죽겠는데...,Whats funny exist that these thing will offend,0.674091,0.687700,0.719706
괜찮아? 어디 봐?,Sooner State Where set you search,0.456889,0.646838,0.834492
아 ~ 괜찮아 ,Ah its okay,0.538362,0.641591,0.764990
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I intend this exist a sloppy quake,0.614946,0.708838,0.750860
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha I birth a ambition ha What embody you dream like,0.558102,0.608614,0.782910
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These loss Theyre get in on the last solar day of the test Myeonghyo Thats only one,0.610445,0.646373,0.790332
웬 양이 이렇게 많아? ,How many exist there,0.640930,0.697372,0.714247
이게 진짜 죽을래? 이거나 도와줘 ,Will this real exit Or serve me,0.567100,0.655353,0.791733
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my abdomen ah Dont eat ramen yesterday Myeonghyo seed walkway to the pot Oh,0.577542,0.606786,0.799460
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh dirt Hey come out a short quicker Ah,0.528138,0.621551,0.788211
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,individual aid me Today red common pepper get in and exist neural hehe,0.641011,0.609615,0.774989
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Spike Lee Myeonghyo After project your workplace I pass on you dead,0.508105,0.593560,0.778703
너 그러다 싸겠다. ,You will exist inexpensive,0.585723,0.675393,0.751834
야!,Hey,0.323217,0.323217,0.540353
응 영양제 먹었어. 엄마. 응 알았어... ,Yes I took a nutritional supplement mummy yea I start it,0.528195,0.727084,0.792576
전화 좀 나가서 받을래?,Would you care to conk out out and suffice the sound,0.559969,0.612886,0.820952
엄마 끊어  남 상관 말고 니 할일이나 해,Dont aid about your mum set your business,0.506931,0.627744,0.808035
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,Are you only hither Im vex thence conk out out and holler me,0.546416,0.579373,0.798576
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your site without a female parent why act you dress that to me,0.544208,0.614076,0.746361
뭐 이 새끼야? ,What exist this youngster,0.543108,0.674663,0.815408
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river constitute quiet There comprise people who take,0.564527,0.586970,0.761594
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you laugh at plain to me that Im a youngster who feature a gold spoonful in my sass,0.563770,0.646300,0.728379
말이 좀 심하다.,Im a short speechless,0.563554,0.563554,0.668335
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who crap a unusual racket over your female parent,0.500252,0.574739,0.715384
내가 언제 엄마를 걸고 넘어졌니? ,When get along I spill on my female parent,0.611020,0.613862,0.753509
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At school day youre all elite disseminate unusual tidings among yourself,0.557269,0.657197,0.816664
